age,workclass,education,marital-status,race,sex,hours-per-week,native-country,class
32,Self-emp-not-inc, Some-college, Never-married, White,Male,60,United-States,<=50K
46,State-gov, Some-college, Married-civ-spouse, Black,Male,38,United-States,>50K
56,Self-emp-not-inc, 11th, Widowed, White,Female,50,United-States,<=50K
24,Self-emp-not-inc, Bachelors, Never-married, White,Male,50,United-States,<=50K
23,Local-gov, Some-college, Married-civ-spouse, White,Male,40,United-States,<=50K
26,Private, HS-grad, Divorced, White,Female,40,United-States,<=50K
65,Others, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
36,Local-gov, Bachelors, Married-civ-spouse, White,Male,40,United-States,>50K
22,Private, 5th-6th, Never-married, White,Male,50,Guatemala,<=50K
17,Private, 10th, Never-married, White,Male,40,United-States,<=50K
20,Private, HS-grad, Never-married, White,Male,40,United-States,<=50K
65,Private, Masters, Married-civ-spouse, White,Male,50,United-States,>50K
44,Self-emp-inc, Assoc-voc, Married-civ-spouse, White,Male,45,United-States,>50K
36,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
29,Private, 11th, Married-civ-spouse, White,Male,40,United-States,<=50K
20,State-gov, Some-college, Never-married, White,Male,32,United-States,<=50K
28,Private, Assoc-voc, Married-civ-spouse, White,Female,36,United-States,>50K
39,Private, 7th-8th, Married-civ-spouse, White,Male,40,Mexico,<=50K
54,Private, Some-college, Married-civ-spouse, White,Male,50,United-States,<=50K
52,Private, 11th, Separated, Black,Female,18,United-States,<=50K
56,Self-emp-inc, HS-grad, Widowed, White,Female,50,United-States,<=50K
18,Private, Some-college, Never-married, White,Male,20,United-States,<=50K
39,Private, HS-grad, Divorced, Black,Male,40,United-States,<=50K
21,Private, Some-college, Never-married, White,Female,24,United-States,<=50K
22,Private, HS-grad, Never-married, White,Male,60,United-States,>50K
38,Private, 9th, Married-spouse-absent, White,Male,54,Mexico,<=50K
21,Private, Some-college, Never-married, White,Female,40,United-States,<=50K
63,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
34,Local-gov, Bachelors, Married-civ-spouse, White,Male,50,United-States,>50K
42,Self-emp-inc, HS-grad, Married-civ-spouse, White,Male,50,United-States,>50K
33,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
30,Private, Bachelors, Never-married, White,Female,50,United-States,<=50K
39,Private, Some-college, Divorced, White,Male,40,United-States,<=50K
26,Private, Masters, Never-married, White,Female,40,United-States,<=50K
33,Private, HS-grad, Never-married, White,Female,40,United-States,<=50K
47,Local-gov, HS-grad, Divorced, White,Female,40,United-States,<=50K
41,Private, Bachelors, Never-married, White,Female,40,Others,<=50K
41,Self-emp-inc, Assoc-acdm, Married-civ-spouse, White,Male,60,United-States,>50K
19,Private, Some-college, Never-married, White,Male,20,United-States,<=50K
46,Private, HS-grad, Separated, White,Male,40,United-States,<=50K
43,Private, HS-grad, Married-civ-spouse, White,Male,48,United-States,<=50K
55,Private, Some-college, Married-civ-spouse, White,Male,45,United-States,>50K
46,Private, Assoc-voc, Married-civ-spouse, White,Male,40,United-States,<=50K
30,Private, HS-grad, Married-civ-spouse, White,Male,40,Mexico,<=50K
21,Private, Some-college, Separated, White,Female,40,United-States,<=50K
46,Private, Some-college, Married-civ-spouse, Other,Male,40,Dominican-Republic,<=50K
17,Others, 10th, Never-married, White,Male,40,United-States,<=50K
41,Private, HS-grad, Married-civ-spouse, White,Male,50,United-States,<=50K
69,Self-emp-inc, HS-grad, Married-civ-spouse, White,Male,30,United-States,<=50K
50,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
20,Private, Some-college, Never-married, White,Female,40,United-States,<=50K
45,Self-emp-inc, Some-college, Married-civ-spouse, White,Male,50,United-States,<=50K
23,Private, Bachelors, Never-married, White,Male,40,United-States,<=50K
24,Private, Some-college, Separated, White,Male,40,United-States,<=50K
44,Self-emp-inc, HS-grad, Married-civ-spouse, White,Male,50,Others,>50K
31,Self-emp-not-inc, Some-college, Married-civ-spouse, White,Male,50,United-States,<=50K
43,Private, HS-grad, Separated, White,Female,44,United-States,<=50K
20,Federal-gov, 11th, Never-married, White,Female,10,United-States,<=50K
55,Private, HS-grad, Married-civ-spouse, White,Male,56,United-States,>50K
24,Federal-gov, Some-college, Never-married, White,Male,40,United-States,<=50K
41,Others, Masters, Married-civ-spouse, White,Female,10,United-States,>50K
59,Private, Bachelors, Never-married, White,Female,25,United-States,<=50K
49,Federal-gov, 7th-8th, Never-married, Black,Male,20,United-States,<=50K
33,Private, Masters, Married-civ-spouse, White,Female,10,United-States,>50K
59,Federal-gov, Bachelors, Divorced, White,Male,40,United-States,<=50K
34,Private, Masters, Never-married, Amer-Indian-Eskimo,Male,40,United-States,<=50K
20,Private, HS-grad, Never-married, White,Male,40,United-States,<=50K
25,Private, Bachelors, Never-married, White,Female,40,United-States,<=50K
49,Private, 10th, Married-civ-spouse, White,Male,40,United-States,<=50K
59,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,>50K
20,Private, HS-grad, Never-married, White,Female,40,United-States,<=50K
51,Others, Some-college, Married-civ-spouse, White,Female,18,United-States,<=50K
33,Private, Some-college, Never-married, Black,Female,35,United-States,<=50K
22,Private, Some-college, Never-married, Black,Male,39,United-States,<=50K
58,Self-emp-not-inc, 9th, Widowed, White,Female,40,United-States,<=50K
52,Local-gov, HS-grad, Widowed, White,Female,28,United-States,<=50K
36,Private, 10th, Separated, White,Female,40,United-States,<=50K
41,Local-gov, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
28,Private, HS-grad, Never-married, White,Male,40,United-States,<=50K
19,Private, Some-college, Never-married, Black,Male,16,United-States,<=50K
18,Private, HS-grad, Never-married, White,Female,28,United-States,<=50K
18,Private, HS-grad, Never-married, White,Female,48,United-States,<=50K
28,Private, Some-college, Married-civ-spouse, White,Male,40,United-States,<=50K
29,Private, Assoc-voc, Married-civ-spouse, White,Male,40,United-States,>50K
20,Others, HS-grad, Never-married, White,Female,20,United-States,<=50K
40,Private, Some-college, Married-civ-spouse, White,Male,40,United-States,<=50K
26,Private, HS-grad, Never-married, White,Male,40,United-States,<=50K
46,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
23,Private, 11th, Never-married, White,Female,24,United-States,<=50K
44,Private, HS-grad, Married-spouse-absent, White,Female,40,United-States,<=50K
43,Private, Bachelors, Divorced, White,Female,40,United-States,>50K
31,Local-gov, Bachelors, Divorced, White,Female,60,United-States,<=50K
18,Private, Some-college, Never-married, White,Female,25,United-States,<=50K
19,Private, Some-college, Never-married, White,Male,30,United-States,<=50K
41,Private, Some-college, Divorced, White,Female,40,United-States,<=50K
41,Private, HS-grad, Divorced, White,Female,40,United-States,<=50K
69,Private, HS-grad, Divorced, White,Female,25,United-States,<=50K
48,Federal-gov, Doctorate, Married-civ-spouse, White,Female,40,United-States,>50K
28,Private, HS-grad, Never-married, White,Male,40,United-States,<=50K
27,Self-emp-not-inc, HS-grad, Married-civ-spouse, White,Male,60,Ireland,>50K
41,Private, Masters, Married-civ-spouse, White,Male,50,United-States,>50K
41,Private, Some-college, Married-civ-spouse, White,Male,40,United-States,<=50K
24,Private, HS-grad, Never-married, Black,Female,40,United-States,<=50K
20,Others, HS-grad, Never-married, White,Female,40,United-States,<=50K
42,Self-emp-inc, Doctorate, Married-civ-spouse, White,Male,41,United-States,>50K
57,Private, HS-grad, Married-civ-spouse, Black,Male,48,United-States,<=50K
30,Private, Assoc-acdm, Never-married, White,Female,40,United-States,<=50K
36,Private, HS-grad, Married-civ-spouse, White,Male,60,United-States,>50K
49,Private, 7th-8th, Married-civ-spouse, Black,Male,40,United-States,<=50K
33,Private, HS-grad, Married-civ-spouse, White,Female,35,United-States,<=50K
23,Private, 10th, Married-civ-spouse, White,Male,40,United-States,<=50K
46,Private, Masters, Married-civ-spouse, White,Male,40,United-States,<=50K
18,Private, Some-college, Never-married, Asian-Pac-Islander,Female,22,Germany,<=50K
40,Private, HS-grad, Married-civ-spouse, White,Male,55,United-States,>50K
43,Self-emp-inc, HS-grad, Married-civ-spouse, White,Male,45,United-States,>50K
34,Private, Masters, Never-married, White,Female,30,United-States,<=50K
47,Self-emp-not-inc, HS-grad, Widowed, White,Female,30,United-States,<=50K
44,Private, Assoc-voc, Widowed, White,Female,30,United-States,<=50K
33,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,>50K
55,Private, Bachelors, Married-civ-spouse, White,Male,50,United-States,>50K
19,Private, HS-grad, Never-married, White,Male,30,United-States,<=50K
28,Private, Some-college, Never-married, Black,Male,14,United-States,<=50K
27,Private, 11th, Married-civ-spouse, Black,Female,32,United-States,<=50K
50,Private, 7th-8th, Married-civ-spouse, White,Male,20,United-States,<=50K
22,Private, 11th, Never-married, White,Male,40,United-States,<=50K
40,State-gov, Bachelors, Married-civ-spouse, White,Male,45,United-States,>50K
25,Private, Some-college, Never-married, White,Female,40,United-States,<=50K
26,Local-gov, HS-grad, Never-married, White,Male,40,United-States,<=50K
22,Private, Bachelors, Never-married, White,Male,25,United-States,<=50K
42,Private, Some-college, Never-married, Black,Female,40,United-States,<=50K
38,Self-emp-inc, Bachelors, Divorced, White,Male,40,United-States,<=50K
55,Private, 11th, Married-civ-spouse, White,Male,30,United-States,<=50K
32,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
22,Private, HS-grad, Married-civ-spouse, White,Male,45,United-States,<=50K
29,Private, Bachelors, Never-married, White,Male,40,United-States,<=50K
46,State-gov, Masters, Married-civ-spouse, White,Male,45,United-States,>50K
31,Private, Some-college, Married-civ-spouse, White,Male,40,United-States,>50K
58,Self-emp-not-inc, Doctorate, Married-civ-spouse, White,Male,16,United-States,>50K
42,Private, HS-grad, Married-civ-spouse, White,Male,45,United-States,<=50K
18,Private, HS-grad, Never-married, White,Male,25,United-States,<=50K
58,Local-gov, HS-grad, Divorced, White,Male,33,United-States,<=50K
54,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,>50K
34,Private, Masters, Never-married, White,Male,40,United-States,<=50K
26,Private, Bachelors, Never-married, White,Female,40,United-States,<=50K
61,Private, 12th, Married-civ-spouse, White,Male,60,United-States,<=50K
48,Local-gov, Masters, Separated, Black,Female,40,United-States,<=50K
36,Private, Some-college, Married-civ-spouse, White,Male,45,United-States,>50K
24,Private, Assoc-voc, Married-civ-spouse, White,Male,45,United-States,<=50K
40,Private, Some-college, Married-civ-spouse, White,Male,37,United-States,<=50K
33,Self-emp-inc, HS-grad, Married-civ-spouse, White,Male,50,United-States,>50K
37,Private, Some-college, Married-civ-spouse, White,Male,40,United-States,>50K
34,Private, Masters, Never-married, White,Male,40,United-States,<=50K
56,Self-emp-inc, Some-college, Married-civ-spouse, White,Male,40,United-States,>50K
28,Others, HS-grad, Married-civ-spouse, White,Female,38,United-States,>50K
37,Private, Bachelors, Widowed, White,Female,55,United-States,<=50K
44,Private, HS-grad, Divorced, Black,Female,40,United-States,<=50K
64,Others, Some-college, Married-civ-spouse, White,Male,8,United-States,<=50K
54,Private, HS-grad, Divorced, White,Male,45,United-States,<=50K
23,Private, HS-grad, Never-married, White,Male,50,United-States,<=50K
34,State-gov, Bachelors, Married-spouse-absent, Black,Male,40,Others,<=50K
22,Private, HS-grad, Never-married, White,Female,45,United-States,<=50K
33,Private, Bachelors, Married-civ-spouse, White,Male,40,United-States,>50K
39,Private, Bachelors, Separated, White,Male,50,United-States,>50K
47,Private, Some-college, Divorced, Black,Female,37,United-States,<=50K
79,Others, 7th-8th, Widowed, White,Male,40,United-States,<=50K
26,Private, HS-grad, Never-married, Black,Female,55,United-States,<=50K
31,Private, Some-college, Divorced, White,Female,40,United-States,<=50K
44,Private, Some-college, Never-married, White,Male,45,United-States,<=50K
42,Self-emp-inc, Prof-school, Married-civ-spouse, White,Female,50,United-States,>50K
19,Private, HS-grad, Never-married, White,Female,40,United-States,<=50K
27,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,>50K
51,Local-gov, Some-college, Married-civ-spouse, White,Male,40,United-States,>50K
28,Self-emp-inc, Bachelors, Married-civ-spouse, White,Male,50,United-States,<=50K
57,Private, Bachelors, Divorced, White,Male,45,United-States,<=50K
45,Local-gov, Bachelors, Divorced, White,Female,40,United-States,<=50K
50,Private, Assoc-voc, Married-civ-spouse, White,Male,40,United-States,>50K
34,Self-emp-inc, Bachelors, Married-civ-spouse, White,Male,54,United-States,<=50K
45,Private, 7th-8th, Married-civ-spouse, Black,Male,40,United-States,<=50K
73,Local-gov, HS-grad, Married-civ-spouse, White,Male,20,United-States,<=50K
34,Private, Bachelors, Married-civ-spouse, White,Female,50,United-States,>50K
31,Private, Some-college, Married-civ-spouse, White,Male,55,United-States,>50K
19,Private, 11th, Never-married, White,Male,12,United-States,<=50K
25,Private, Some-college, Never-married, White,Female,50,United-States,<=50K
38,Federal-gov, Assoc-voc, Divorced, White,Female,40,United-States,<=50K
39,Private, Bachelors, Married-civ-spouse, White,Male,40,United-States,<=50K
23,Private, Bachelors, Never-married, Black,Female,32,United-States,<=50K
49,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
33,Federal-gov, HS-grad, Never-married, White,Male,32,United-States,<=50K
21,Private, 5th-6th, Never-married, White,Male,38,Mexico,<=50K
31,Private, Assoc-voc, Separated, White,Male,40,United-States,<=50K
23,Private, Bachelors, Never-married, White,Female,45,United-States,<=50K
34,Private, Bachelors, Married-civ-spouse, Asian-Pac-Islander,Male,40,Philippines,<=50K
25,Private, HS-grad, Never-married, Asian-Pac-Islander,Female,40,Philippines,<=50K
39,Private, HS-grad, Never-married, White,Male,40,United-States,<=50K
52,Self-emp-inc, HS-grad, Married-civ-spouse, White,Male,40,United-States,>50K
63,Local-gov, 9th, Married-civ-spouse, White,Male,40,United-States,>50K
41,Private, Some-college, Married-civ-spouse, White,Male,40,United-States,<=50K
46,Private, Bachelors, Married-civ-spouse, White,Male,38,United-States,>50K
53,Local-gov, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
25,Others, 9th, Separated, White,Female,40,United-States,<=50K
77,Others, Some-college, Married-civ-spouse, White,Male,35,United-States,<=50K
18,Private, 12th, Never-married, White,Male,40,United-States,<=50K
38,Private, Prof-school, Married-civ-spouse, White,Male,50,United-States,<=50K
55,Private, Masters, Never-married, Asian-Pac-Islander,Female,50,Thailand,<=50K
34,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,>50K
80,Self-emp-not-inc, HS-grad, Married-civ-spouse, White,Male,30,United-States,<=50K
34,Private, Assoc-voc, Divorced, White,Female,60,United-States,<=50K
52,Private, Some-college, Married-civ-spouse, White,Male,40,United-States,<=50K
42,Private, HS-grad, Never-married, Black,Female,28,Haiti,<=50K
26,Private, Some-college, Never-married, White,Female,40,United-States,<=50K
31,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
25,Local-gov, HS-grad, Never-married, White,Female,35,United-States,<=50K
55,Self-emp-not-inc, HS-grad, Married-civ-spouse, White,Male,60,United-States,<=50K
19,Private, Some-college, Never-married, White,Female,12,United-States,<=50K
62,Self-emp-not-inc, Some-college, Married-civ-spouse, White,Male,32,United-States,<=50K
22,Federal-gov, Some-college, Never-married, White,Female,20,United-States,<=50K
39,Others, HS-grad, Married-civ-spouse, White,Female,50,United-States,<=50K
35,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
28,Private, HS-grad, Married-civ-spouse, White,Female,40,United-States,<=50K
47,Private, HS-grad, Married-civ-spouse, White,Male,70,United-States,>50K
44,State-gov, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
21,Private, Some-college, Never-married, White,Male,15,United-States,<=50K
35,Private, Assoc-voc, Never-married, White,Male,50,United-States,<=50K
24,Private, Bachelors, Married-civ-spouse, White,Male,40,United-States,>50K
42,Federal-gov, Bachelors, Never-married, White,Male,40,Others,<=50K
28,Private, Bachelors, Never-married, White,Male,50,United-States,<=50K
21,Private, Some-college, Never-married, White,Male,35,United-States,<=50K
62,Federal-gov, Some-college, Divorced, Black,Male,40,United-States,<=50K
39,Private, HS-grad, Never-married, Black,Female,40,United-States,<=50K
30,State-gov, HS-grad, Never-married, White,Male,40,United-States,<=50K
72,Self-emp-not-inc, Prof-school, Never-married, White,Male,20,United-States,<=50K
50,Private, Some-college, Married-civ-spouse, White,Female,50,United-States,<=50K
28,Local-gov, Masters, Never-married, White,Male,40,United-States,<=50K
29,Private, Some-college, Never-married, White,Female,40,United-States,<=50K
26,Private, Bachelors, Never-married, White,Female,40,United-States,<=50K
27,Private, Masters, Never-married, White,Female,40,United-States,<=50K
29,Private, Some-college, Married-civ-spouse, White,Male,40,United-States,>50K
61,Others, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
29,Private, 10th, Married-civ-spouse, White,Male,25,United-States,<=50K
21,Others, Some-college, Never-married, White,Female,30,United-States,<=50K
31,Private, 11th, Married-civ-spouse, White,Female,20,United-States,<=50K
25,Private, HS-grad, Married-civ-spouse, White,Male,75,United-States,<=50K
58,Private, 10th, Married-civ-spouse, White,Male,40,United-States,>50K
64,Private, Some-college, Married-civ-spouse, White,Female,40,United-States,>50K
46,State-gov, Masters, Never-married, White,Male,38,United-States,<=50K
53,Others, HS-grad, Married-civ-spouse, White,Male,35,United-States,>50K
19,Private, HS-grad, Never-married, Amer-Indian-Eskimo,Female,35,United-States,<=50K
42,Private, HS-grad, Divorced, Black,Male,52,United-States,<=50K
18,Private, 11th, Never-married, White,Male,24,United-States,<=50K
58,Self-emp-inc, Bachelors, Married-civ-spouse, White,Male,50,United-States,>50K
20,Private, Some-college, Never-married, Black,Male,60,United-States,<=50K
35,Federal-gov, HS-grad, Married-civ-spouse, White,Male,40,United-States,>50K
32,Private, HS-grad, Married-civ-spouse, White,Male,38,United-States,>50K
23,Private, HS-grad, Never-married, White,Female,25,United-States,<=50K
31,Private, Some-college, Divorced, White,Female,40,United-States,<=50K
33,Private, Bachelors, Married-civ-spouse, Black,Male,55,United-States,<=50K
41,Private, Some-college, Never-married, White,Female,48,United-States,<=50K
22,Private, HS-grad, Never-married, Black,Male,40,United-States,<=50K
46,Private, Some-college, Married-civ-spouse, White,Male,40,United-States,>50K
61,Federal-gov, Some-college, Married-civ-spouse, Black,Male,40,United-States,<=50K
30,Private, HS-grad, Never-married, Black,Male,40,United-States,<=50K
42,Private, HS-grad, Married-civ-spouse, White,Male,55,United-States,>50K
63,Private, 10th, Married-civ-spouse, White,Male,40,United-States,<=50K
26,Private, Some-college, Married-civ-spouse, White,Male,40,United-States,<=50K
42,Private, 10th, Divorced, White,Female,40,United-States,<=50K
23,Private, Some-college, Married-civ-spouse, White,Male,40,United-States,<=50K
25,Private, HS-grad, Never-married, White,Male,40,United-States,<=50K
30,Private, 9th, Married-civ-spouse, White,Male,32,El-Salvador,>50K
23,Private, HS-grad, Never-married, White,Male,40,United-States,<=50K
34,Self-emp-not-inc, Assoc-voc, Never-married, White,Male,60,United-States,>50K
30,Private, HS-grad, Married-civ-spouse, White,Male,48,United-States,<=50K
39,Private, Some-college, Married-civ-spouse, White,Male,40,United-States,>50K
30,Private, 11th, Never-married, White,Male,38,Puerto-Rico,<=50K
38,Local-gov, Some-college, Divorced, White,Female,38,United-States,<=50K
26,Private, HS-grad, Divorced, White,Female,40,United-States,<=50K
20,Private, Some-college, Never-married, White,Male,16,United-States,<=50K
37,Local-gov, Bachelors, Never-married, Black,Male,40,Others,<=50K
33,Private, HS-grad, Married-civ-spouse, White,Female,40,United-States,<=50K
24,Private, Bachelors, Never-married, White,Male,40,United-States,<=50K
42,Self-emp-inc, Bachelors, Married-civ-spouse, White,Male,60,United-States,>50K
51,Self-emp-not-inc, HS-grad, Married-civ-spouse, Asian-Pac-Islander,Male,84,Vietnam,<=50K
56,Local-gov, Assoc-acdm, Married-civ-spouse, White,Male,45,United-States,>50K
22,Private, Some-college, Never-married, White,Male,40,United-States,<=50K
52,Self-emp-not-inc, Some-college, Married-civ-spouse, White,Male,60,United-States,<=50K
44,Private, Bachelors, Divorced, White,Female,45,United-States,>50K
34,Private, HS-grad, Married-civ-spouse, White,Female,35,United-States,<=50K
51,Private, Some-college, Divorced, White,Male,42,United-States,>50K
20,Others, Some-college, Never-married, White,Male,40,United-States,<=50K
19,Private, Some-college, Never-married, White,Female,25,United-States,<=50K
37,Private, Bachelors, Married-civ-spouse, White,Male,40,United-States,>50K
68,Private, HS-grad, Married-civ-spouse, Black,Male,40,United-States,>50K
22,Private, Some-college, Divorced, White,Male,40,United-States,<=50K
56,Self-emp-inc, Bachelors, Married-civ-spouse, White,Male,40,United-States,<=50K
37,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
52,Private, 1st-4th, Married-civ-spouse, White,Male,40,Mexico,<=50K
26,Private, HS-grad, Separated, White,Male,40,Puerto-Rico,<=50K
33,Private, Masters, Married-civ-spouse, White,Male,50,United-States,<=50K
45,Local-gov, Masters, Divorced, White,Female,42,United-States,<=50K
18,Private, 11th, Never-married, White,Male,15,United-States,<=50K
43,Self-emp-not-inc, Some-college, Married-civ-spouse, White,Male,60,United-States,>50K
64,Self-emp-not-inc, Doctorate, Married-civ-spouse, White,Male,50,Others,>50K
18,Private, HS-grad, Never-married, White,Male,20,United-States,<=50K
20,Others, Some-college, Never-married, White,Male,45,United-States,<=50K
57,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,>50K
41,Private, HS-grad, Divorced, White,Female,42,United-States,<=50K
34,Private, Masters, Married-civ-spouse, White,Male,50,United-States,>50K
19,Private, HS-grad, Never-married, White,Female,40,United-States,<=50K
44,Private, 9th, Divorced, White,Female,55,Dominican-Republic,<=50K
56,Private, 10th, Widowed, White,Female,40,United-States,<=50K
36,Self-emp-inc, HS-grad, Married-civ-spouse, White,Male,80,United-States,<=50K
48,Private, Bachelors, Divorced, White,Female,48,United-States,<=50K
29,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,>50K
33,Private, Bachelors, Never-married, White,Male,40,United-States,<=50K
31,Private, 5th-6th, Married-civ-spouse, White,Male,40,Mexico,<=50K
39,Private, Masters, Married-civ-spouse, White,Male,45,United-States,>50K
66,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,>50K
27,Private, Bachelors, Never-married, White,Female,50,United-States,>50K
39,Private, HS-grad, Divorced, Black,Female,40,United-States,>50K
59,Private, 7th-8th, Married-civ-spouse, White,Male,50,United-States,>50K
26,Private, HS-grad, Never-married, White,Female,40,United-States,<=50K
31,Private, Assoc-voc, Divorced, White,Male,40,United-States,<=50K
45,Others, HS-grad, Widowed, White,Female,40,Mexico,<=50K
23,Private, HS-grad, Never-married, White,Male,30,United-States,<=50K
36,Local-gov, HS-grad, Divorced, White,Female,40,United-States,<=50K
34,Private, Some-college, Married-civ-spouse, White,Female,12,United-States,>50K
32,Private, HS-grad, Married-civ-spouse, White,Male,84,United-States,>50K
37,Private, Bachelors, Married-civ-spouse, Black,Male,50,United-States,>50K
33,Private, Bachelors, Never-married, White,Male,45,United-States,<=50K
50,Self-emp-not-inc, Prof-school, Married-civ-spouse, White,Male,80,United-States,>50K
32,Federal-gov, Assoc-acdm, Never-married, Black,Male,40,United-States,<=50K
35,Private, Bachelors, Never-married, Black,Female,40,United-States,<=50K
37,Private, 11th, Married-civ-spouse, White,Male,40,United-States,<=50K
44,Private, Some-college, Divorced, White,Male,60,United-States,<=50K
57,Private, Some-college, Divorced, White,Male,25,United-States,<=50K
29,Local-gov, Some-college, Married-civ-spouse, White,Female,40,United-States,<=50K
55,Private, HS-grad, Married-civ-spouse, White,Male,50,United-States,>50K
43,Self-emp-inc, Prof-school, Married-civ-spouse, White,Male,25,United-States,>50K
43,Private, Some-college, Married-civ-spouse, White,Male,70,United-States,<=50K
45,Self-emp-not-inc, Some-college, Married-civ-spouse, White,Male,60,United-States,>50K
33,Self-emp-not-inc, Masters, Married-civ-spouse, White,Female,8,United-States,<=50K
26,Private, 10th, Divorced, White,Female,40,Germany,<=50K
23,Private, Some-college, Married-civ-spouse, White,Male,68,United-States,<=50K
41,Private, 7th-8th, Separated, White,Male,40,Mexico,<=50K
24,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,<=50K
47,Self-emp-not-inc, Bachelors, Married-civ-spouse, White,Male,44,United-States,<=50K
34,Self-emp-not-inc, HS-grad, Never-married, White,Male,45,United-States,<=50K
40,Private, HS-grad, Married-civ-spouse, White,Male,40,United-States,>50K
28,Private, Bachelors, Married-civ-spouse, Asian-Pac-Islander,Female,40,United-States,<=50K
24,Private, HS-grad, Never-married, Asian-Pac-Islander,Female,40,South,<=50K
73,Others, Some-college, Married-civ-spouse, White,Male,10,United-States,<=50K
23,Private, HS-grad, Never-married, White,Male,15,United-States,<=50K
43,Self-emp-not-inc, HS-grad, Married-civ-spouse, Black,Male,40,United-States,>50K
26,Private, Bachelors, Divorced, White,Female,40,United-States,<=50K
58,Self-emp-not-inc, Doctorate, Married-AF-spouse, White,Female,35,United-States,>50K
52,Private, HS-grad, Widowed, Black,Female,35,United-States,<=50K
29,Private, 11th, Married-civ-spouse, White,Male,99,United-States,>50K
47,Private, 11th, Married-civ-spouse, White,Male,35,Columbia,<=50K
49,Private, HS-grad, Divorced, Black,Female,37,United-States,<=50K
40,Private, 11th, Widowed, White,Female,40,United-States,<=50K
62,Self-emp-not-inc, HS-grad, Married-civ-spouse, White,Female,40,United-States,<=50K
49,Private, HS-grad, Married-civ-spouse, White,Male,55,United-States,>50K
50,Private, Bachelors, Divorced, White,Female,50,United-States,>50K
31,Private, HS-grad, Never-married, Black,Male,40,United-States,<=50K
48,Local-gov, Masters, Never-married, White,Female,50,United-States,<=50K
