age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
27,Private,168138,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,40,United-States,<=50K
51,Private,152596,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K
28,Private,278736,5th-6th,3,Married-civ-spouse,MachineInsp-Op,Husband,White,Male,40,Mexico,<=50K
56,Private,106723,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
63,Self-emp-not-inc,117681,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K
41,Private,289886,5th-6th,3,Married-civ-spouse,Other-service,Husband,Other,Male,40,Nicaragua,<=50K
40,Private,151408,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
26,Private,388812,Some-college,10,Never-married,Sales-Bussiness,Not-in-family,Black,Male,35,United-States,<=50K
20,Private,116830,HS-grad,9,Never-married,MachineInsp-Op,Not-in-family,White,Male,40,United-States,<=50K
39,Private,179731,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,65,United-States,>50K
51,Private,146767,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
35,Private,172186,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K
34,Private,236543,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K
19,Private,28790,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K
31,Private,150309,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Female,70,United-States,<=50K
20,Private,137300,Assoc-voc,11,Never-married,MachineInsp-Op,Unmarried,White,Female,40,United-States,<=50K
63,Private,187919,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,30,United-States,<=50K
47,Private,118972,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,>50K
32,Private,147284,Assoc-voc,11,Married-civ-spouse,Sales-Bussiness,Husband,White,Male,50,United-States,>50K
62,Private,176839,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,38,United-States,<=50K
34,Private,173495,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,48,United-States,>50K
33,Private,288398,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,45,United-States,<=50K
47,Self-emp-inc,248145,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,50,Cuba,<=50K
49,Private,190115,HS-grad,9,Married-civ-spouse,Sales-Bussiness,Husband,White,Male,44,United-States,<=50K
42,Private,71458,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,<=50K
38,Private,234298,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,<=50K
39,Private,387430,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,18,United-States,<=50K
36,Private,202662,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
32,Private,98656,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
36,Local-gov,359001,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,48,United-States,<=50K
24,Private,233856,HS-grad,9,Never-married,MachineInsp-Op,Other-relative,Black,Male,45,United-States,<=50K
21,Private,306850,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K
68,Private,166149,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,30,United-States,<=50K
47,Private,103020,7th-8th,4,Married-civ-spouse,MachineInsp-Op,Wife,Other,Female,40,Puerto-Rico,<=50K
45,Private,273435,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
49,Federal-gov,216453,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,Black,Female,45,United-States,<=50K
18,Private,280603,11th,7,Never-married,Sales-Bussiness,Own-child,White,Female,30,United-States,<=50K
48,Local-gov,187969,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,80,United-States,<=50K
45,Private,168262,HS-grad,9,Married-civ-spouse,MachineInsp-Op,Husband,White,Male,40,United-States,>50K
23,Private,203924,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,<=50K
31,Private,215047,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,50,United-States,<=50K
58,Private,310085,5th-6th,3,Married-civ-spouse,MachineInsp-Op,Husband,White,Male,40,United-States,<=50K
23,Private,129042,HS-grad,9,Never-married,MachineInsp-Op,Unmarried,Black,Female,40,United-States,<=50K
50,Private,118058,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K
58,Self-emp-not-inc,164065,Masters,14,Divorced,Sales-Bussiness,Not-in-family,White,Male,18,United-States,<=50K
58,Self-emp-inc,258883,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
20,Private,82777,Some-college,10,Never-married,Sales-Bussiness,Own-child,White,Male,16,United-States,<=50K
44,Local-gov,144778,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
30,Private,221043,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,<=50K
54,Local-gov,185846,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
37,Private,195148,HS-grad,9,Married-civ-spouse,Craft-repair,Own-child,White,Male,40,United-States,<=50K
26,Private,403788,Assoc-acdm,12,Never-married,Other-service,Own-child,Black,Male,40,United-States,<=50K
35,Private,206951,Masters,14,Married-civ-spouse,Sales-Bussiness,Husband,White,Male,40,United-States,>50K
45,Private,350440,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,40,United-States,>50K
34,Private,141058,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,62,Mexico,<=50K
42,Private,118947,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
37,Self-emp-inc,257295,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,75,Thailand,>50K
30,Private,310889,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
27,Private,105598,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K
51,Private,193374,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Mexico,<=50K
29,Private,169631,HS-grad,9,Married-spouse-absent,Adm-clerical,Own-child,White,Female,40,United-States,<=50K
27,Private,73587,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,35,United-States,<=50K
23,Private,315065,10th,6,Never-married,Other-service,Unmarried,White,Male,60,Mexico,<=50K
37,Local-gov,365430,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
22,Self-emp-not-inc,279802,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,3,United-States,<=50K
48,Private,268083,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
23,Private,294701,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
56,Private,191917,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
58,Local-gov,271795,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
42,Private,242564,7th-8th,4,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K
31,Private,197860,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
39,Private,297449,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
37,Private,278924,HS-grad,9,Divorced,Sales-Bussiness,Not-in-family,White,Male,40,United-States,<=50K
35,Local-gov,190964,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
37,Private,412296,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,Mexico,>50K
21,Private,410439,Some-college,10,Never-married,Sales-Bussiness,Own-child,White,Male,24,United-States,<=50K
46,Private,156926,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
19,Private,369463,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K
52,Federal-gov,221532,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
48,Private,69586,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Male,40,United-States,<=50K
56,Private,311249,HS-grad,9,Widowed,Adm-clerical,Unmarried,Black,Female,38,United-States,<=50K
23,Private,205939,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,38,United-States,<=50K
46,Self-emp-inc,192779,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
18,Private,256967,10th,6,Never-married,Sales-Bussiness,Other-relative,Black,Female,40,United-States,<=50K
41,Self-emp-not-inc,38876,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,<=50K
36,Self-emp-not-inc,207202,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,<=50K
30,Private,185336,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,37,United-States,<=50K
53,Private,200190,Assoc-acdm,12,Married-civ-spouse,Sales-Bussiness,Husband,White,Male,80,United-States,>50K
30,Private,186269,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K
47,Private,21906,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,25,United-States,<=50K
51,Private,302146,11th,7,Never-married,Other-service,Not-in-family,Black,Female,40,United-States,<=50K
27,Private,256764,Assoc-acdm,12,Never-married,Sales-Bussiness,Not-in-family,White,Male,40,United-States,<=50K
24,Self-emp-not-inc,322931,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K
44,Private,131650,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,54,United-States,>50K
54,Private,285854,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K
26,Private,134004,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,<=50K
49,Private,203067,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
25,Private,118088,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,40,United-States,<=50K
47,Self-emp-inc,127678,Some-college,10,Married-civ-spouse,Sales-Bussiness,Husband,White,Male,80,United-States,<=50K
27,Private,193898,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K
20,Private,190273,12th,8,Never-married,Other-service,Own-child,White,Male,35,United-States,<=50K
38,Federal-gov,99527,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
24,State-gov,191269,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,65,United-States,<=50K
26,Private,216010,HS-grad,9,Separated,Exec-managerial,Own-child,White,Female,40,United-States,<=50K
18,Private,184016,HS-grad,9,Married-civ-spouse,Servernt-Service,Not-in-family,White,Female,40,United-States,<=50K
21,Private,162228,HS-grad,9,Never-married,Sales-Bussiness,Own-child,White,Male,30,United-States,<=50K
33,Private,288273,12th,8,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
34,Private,112564,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,<=50K
27,Private,104917,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
19,Private,223648,HS-grad,9,Never-married,Sales-Bussiness,Not-in-family,White,Male,48,United-States,<=50K
22,State-gov,157541,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,10,United-States,<=50K
49,Private,224393,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K
42,Federal-gov,296798,11th,7,Never-married,Tech-support,Not-in-family,White,Male,40,United-States,<=50K
23,Private,105617,9th,5,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K
55,Private,199067,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
23,Private,325596,Some-college,10,Never-married,MachineInsp-Op,Not-in-family,White,Male,40,United-States,<=50K
34,Private,37646,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,65,United-States,<=50K
33,Private,125249,HS-grad,9,Separated,Protective-serv,Own-child,White,Female,40,United-States,<=50K
46,Local-gov,175428,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
31,Private,169583,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,40,United-States,<=50K
50,Private,231495,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
37,State-gov,151322,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K
63,Self-emp-not-inc,181561,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,<=50K
37,Private,73715,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
36,Private,749636,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
33,Private,415706,5th-6th,3,Separated,Other-service,Unmarried,White,Female,40,Mexico,<=50K
20,Private,223515,Some-college,10,Never-married,Other-service,Own-child,White,Male,40,United-States,<=50K
33,Private,189265,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
66,Private,313255,Some-college,10,Married-civ-spouse,Sales-Bussiness,Husband,White,Male,24,United-States,<=50K
22,Private,148294,11th,7,Never-married,Craft-repair,Own-child,White,Male,35,United-States,<=50K
44,Private,260046,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K
61,Private,273803,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
43,Private,75742,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,<=50K
31,Private,231263,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,45,United-States,<=50K
56,Private,108276,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,40,United-States,<=50K
32,Private,108256,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
34,Private,242960,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K
40,Local-gov,321187,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,45,United-States,<=50K
66,Local-gov,75134,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,25,United-States,<=50K
43,Private,122473,9th,5,Never-married,MachineInsp-Op,Unmarried,Black,Female,40,United-States,<=50K
18,Private,25828,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,<=50K
48,Private,135525,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
21,Private,212114,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,8,United-States,<=50K
69,Private,174474,10th,6,Separated,MachineInsp-Op,Not-in-family,White,Female,28,Peru,<=50K
70,Self-emp-not-inc,143833,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
22,Private,234641,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K
23,Private,375871,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,Mexico,<=50K
63,Self-emp-not-inc,125178,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
38,Private,123833,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K
17,Private,204018,11th,7,Never-married,Sales-Bussiness,Unmarried,White,Male,15,United-States,<=50K
36,Private,20507,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,>50K
45,Private,27332,HS-grad,9,Divorced,Sales-Bussiness,Not-in-family,White,Female,40,United-States,<=50K
17,Private,159299,11th,7,Never-married,Other-service,Own-child,White,Female,20,United-States,<=50K
30,Local-gov,352542,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K
64,State-gov,269512,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,40,United-States,<=50K
40,Private,200479,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K
26,Private,194352,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,40,United-States,<=50K
33,Private,53042,12th,8,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,<=50K
41,Local-gov,160785,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
41,Private,50122,Assoc-voc,11,Divorced,Sales-Bussiness,Own-child,White,Male,50,United-States,<=50K
45,Private,238567,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,England,>50K
47,Self-emp-inc,350759,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
46,Private,31432,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,52,United-States,>50K
46,Private,163229,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K
28,Private,69107,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K
23,Private,217961,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
22,Private,73266,Some-college,10,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,40,United-States,<=50K
27,Private,164924,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
34,Private,400416,11th,7,Never-married,MachineInsp-Op,Own-child,Black,Male,45,United-States,<=50K
40,Self-emp-not-inc,209040,Bachelors,13,Married-civ-spouse,Sales-Bussiness,Husband,White,Male,40,United-States,<=50K
41,State-gov,70884,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K
28,Private,314649,Some-college,10,Married-civ-spouse,Sales-Bussiness,Husband,Amer-Indian-Eskimo,Male,60,United-States,<=50K
38,Private,172538,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K
47,Private,72896,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K
54,Private,311020,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,50,United-States,<=50K
45,Private,232586,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,>50K
42,Private,154374,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
50,Private,99476,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,35,United-States,<=50K
41,Private,138975,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
30,Local-gov,145692,Some-college,10,Never-married,Protective-serv,Not-in-family,Black,Male,40,United-States,<=50K
26,Local-gov,138597,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,25,United-States,<=50K
33,Private,283602,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,59,Mexico,<=50K
35,Federal-gov,39207,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K
23,Private,287988,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,20,United-States,<=50K
54,State-gov,166774,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,>50K
51,Private,204322,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,>50K
49,Private,107682,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,38,United-States,<=50K
49,Private,84013,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,35,United-States,<=50K
55,Private,169611,11th,7,Widowed,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
35,Private,155961,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,35,Jamaica,<=50K
32,Private,113504,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
37,Private,230408,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,20,United-States,<=50K
25,Private,109009,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
60,Private,227332,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K
37,Private,186934,HS-grad,9,Married-civ-spouse,Sales-Bussiness,Husband,White,Male,60,United-States,>50K
26,Private,142506,Bachelors,13,Never-married,Prof-specialty,Unmarried,Black,Female,35,United-States,<=50K
27,Private,152231,Some-college,10,Married-civ-spouse,MachineInsp-Op,Husband,White,Male,45,United-States,<=50K
25,Private,159732,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K
32,Private,42617,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,30,United-States,<=50K
31,Private,172865,5th-6th,3,Never-married,Farming-fishing,Own-child,White,Male,25,Mexico,<=50K
24,Private,82804,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Black,Female,40,United-States,<=50K
31,Private,308540,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
21,Private,221955,9th,5,Never-married,Handlers-cleaners,Other-relative,White,Male,40,Mexico,<=50K
61,Private,137554,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
21,Private,452640,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
49,Self-emp-not-inc,175622,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
45,Private,186272,9th,5,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,>50K
34,Self-emp-not-inc,175697,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,75,United-States,<=50K
27,Private,29732,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,36,United-States,<=50K
90,Private,87372,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,72,United-States,>50K
49,Self-emp-inc,30751,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,<=50K
45,Private,274689,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K
31,Private,165148,HS-grad,9,Separated,Exec-managerial,Unmarried,White,Female,12,United-States,<=50K
30,Private,425528,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,70,United-States,<=50K
61,Private,142922,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K
19,Private,131615,HS-grad,9,Never-married,MachineInsp-Op,Own-child,White,Male,40,United-States,<=50K
60,Self-emp-not-inc,137733,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K
40,Private,220589,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
42,Self-emp-not-inc,29320,Prof-school,15,Divorced,Prof-specialty,Unmarried,White,Male,60,United-States,>50K
44,Private,147206,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K
36,Local-gov,578377,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,<=50K
69,Private,36956,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
24,Private,186314,Some-college,10,Separated,Prof-specialty,Own-child,White,Male,54,United-States,<=50K
37,Private,186035,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,55,United-States,<=50K
28,Private,111696,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K
21,Private,202373,Assoc-voc,11,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,<=50K
21,Private,417668,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,36,United-States,<=50K
21,Private,315065,7th-8th,4,Never-married,Other-service,Other-relative,White,Male,48,Mexico,<=50K
33,Private,159322,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,40,United-States,<=50K
57,Private,108426,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,48,England,<=50K
55,Private,171355,Assoc-voc,11,Married-civ-spouse,MachineInsp-Op,Husband,White,Male,20,United-States,<=50K
67,Self-emp-not-inc,139960,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
21,Private,344891,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,20,United-States,<=50K
36,Private,188834,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K
43,Private,260696,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
24,Private,145111,HS-grad,9,Never-married,MachineInsp-Op,Not-in-family,White,Male,45,United-States,<=50K
43,Private,354408,12th,8,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,<=50K
35,Private,225750,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,32,United-States,<=50K
44,Self-emp-not-inc,172296,Some-college,10,Separated,Sales-Bussiness,Unmarried,White,Male,60,United-States,<=50K
37,Private,112497,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
24,Private,202570,Bachelors,13,Never-married,Prof-specialty,Own-child,Black,Male,15,United-States,<=50K
27,Private,218184,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,40,Jamaica,<=50K
51,Federal-gov,40808,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,43,United-States,<=50K
