name_of_city,state_code,state_name,dist_code,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,location,total_graduates,male_graduates,female_graduates,checkin_acc,duration,credit_history,amount,savings_acc,present_emp_since,inst_rate,personal_status,residing_since,age,inst_plans,num_credits,job,status,year,region,npg,birth_rate,death_rate,migratory_growth,population
Aurangabad ,27,MAHARASHTRA,19,1171330,610377,560953,151827,81671,70156,908725,497404,411321,919,859,89.13,94.08,83.81,"19.8761653,75.3433139",159308,96576,62732,A12,45,A34,4746,A61,A72,4,A93,2,25,A143,2,A172,1,1990,Lipetsk Oblast,-0.7,12.1,12.8,,1231486
Avadi ,33,TAMIL NADU,1,344701,175055,169646,33414,17005,16409,275881,145729,130152,969,965,88.63,92.2,84.94,"13.1067448,80.0969511",51647,27742,23905,A14,48,A34,6110,A61,A73,1,A93,3,31,A141,1,A173,0,1990,Magadan Oblast,8,13.6,5.6,,390276
Azamgarh ,9,UTTAR PRADESH,60,110980,58033,52947,12629,6790,5839,85008,46587,38421,912,860,86.43,90.91,81.56,"26.0737044,83.1859458",19911,11691,8220,A13,18,A32,2100,A61,A73,4,A93,2,37,A142,1,A173,1,1990,Mari El Republic,5.5,15.8,10.3,,753698
Badlapur ,27,MAHARASHTRA,21,175516,91695,83821,17194,9096,8098,146259,78910,67349,914,890,92.38,95.53,88.94,"19.1667854,73.2367896",25115,13878,11237,A13,10,A32,1225,A61,A73,2,A93,2,37,A143,1,A173,0,1990,Republic of Mordovia,2,13.4,11.4,,963778
Bagaha ,10,BIHAR,1,113012,59946,53066,19070,9802,9268,56998,34751,22247,885,946,60.67,69.3,50.79,"27.1221959,84.0722375",3744,2756,988,A12,9,A32,458,A61,A73,4,A93,3,24,A143,1,A173,0,1990,Moscow,-2.2,10.6,12.8,,8880124
Bagalkot ,29,KARNATAKA,2,112068,56837,55231,12399,6476,5923,85860,46623,39237,972,915,86.15,92.58,79.58,"16.1725355,75.6557206",14090,9038,5052,A14,30,A32,2333,A63,A75,4,A93,2,30,A141,1,A174,0,1990,Moscow Oblast,-2,10.2,12.2,,6700180
Bahadurgarh ,6,HARYANA,15,170426,91736,78690,20374,11420,8954,132108,75714,56394,858,784,88.04,94.27,80.87,"28.6924464,76.9239727",22521,13025,9496,A12,12,A32,1158,A63,A73,3,A91,1,26,A143,1,A173,0,1990,Murmansk Oblast,5.4,11.2,5.8,,1191468
Baharampur ,19,WEST BENGAL,7,195363,100431,94932,13228,6741,6487,164445,86535,77910,945,962,90.29,92.36,88.09,"24.0988265,88.2679264",32154,19679,12475,A12,18,A33,6204,A61,A73,2,A93,4,44,A143,1,A172,0,1990,Nenets Autonomous Okrug,10.3,17.7,7.4,,51993
Bahraich ,9,UTTAR PRADESH,49,186241,98529,87712,22828,12046,10782,122602,66544,56058,890,895,75.03,76.94,72.87,"27.7525271,81.4278984",20490,11537,8953,A11,30,A34,6187,A62,A74,1,A94,4,24,A143,2,A173,0,1990,Nizhny Novgorod Oblast,-1.6,11.3,12.9,,3780256
Baidyabati ,19,WEST BENGAL,12,121081,62550,58531,8154,4164,3990,100590,53217,47373,936,958,89.08,91.15,86.86,"22.795783,88.3190717",17224,10311,6913,A11,48,A34,6143,A61,A75,4,A92,4,58,A142,2,A172,1,1990,Novgorod Oblast,-1.8,12.3,14.1,,753369
Baleshwar Town ,21,ORISSA,8,118202,60308,57894,11115,5685,5430,95084,50372,44712,960,955,88.79,92.22,85.22,"21.4869337,86.9246005",23170,14071,9099,A14,11,A34,1393,A61,A72,4,A92,4,35,A143,2,A174,0,1990,Novosibirsk Oblast,2.4,13.2,10.8,,2742075
Ballia ,9,UTTAR PRADESH,62,104271,55706,48565,10798,5780,5018,80964,45467,35497,872,868,86.62,91.07,81.51,"25.7584381,84.1487319",16114,10252,5862,A14,36,A32,2299,A63,A75,4,A93,4,39,A143,1,A173,0,1990,Omsk Oblast,5.6,14.9,9.3,,2152578
Bally ,19,WEST BENGAL,15,291972,156734,135238,31859,14583,17276,216902,119508,97394,863,1185,83.39,84.07,82.56,"22.6500518,88.3423199",36100,22170,13930,A11,6,A32,1352,A63,A71,1,A92,2,23,A143,1,A171,0,1990,Orenburg Oblast,5.8,15.5,9.7,,2151097
Bally City,19,WEST BENGAL,15,115715,59951,55764,9584,4879,4705,95665,51534,44131,930,964,90.14,93.58,86.43,"22.6500518,88.3423199",12354,7562,4792,A14,11,A34,7228,A61,A73,1,A93,4,39,A143,2,A172,0,1990,Oryol Oblast,-0.7,12.3,13,,895123
Balurghat ,19,WEST BENGAL,5,151183,75677,75506,9391,4757,4634,130230,66954,63276,998,974,91.85,94.41,89.28,"25.2372834,88.7830612",23732,14538,9194,A14,12,A32,2073,A62,A73,4,A92,2,28,A143,1,A173,0,1990,Penza Oblast,0.1,12,11.9,,1546079
Banda ,9,UTTAR PRADESH,39,154388,82215,72173,17697,9351,8346,113857,64871,48986,878,893,83.3,89.03,76.75,"25.4796224,80.3380213",24015,15215,8800,A12,24,A33,2333,A65,A72,4,A93,2,29,A141,1,A172,0,1990,Perm Krai,2.8,13.9,11.1,,3027958
Bankura ,19,WEST BENGAL,13,138036,70734,67302,10760,5502,5258,111073,60272,50801,951,956,87.27,92.4,81.88,"23.2324146,87.0786044",19082,12321,6761,A12,27,A33,5965,A61,A75,1,A93,2,30,A143,2,A174,0,1990,Primorsky Krai,5.5,14.6,9.1,,2296684
Bansberia ,19,WEST BENGAL,12,103799,53807,49992,8721,4518,4203,81514,44671,36843,929,930,85.73,90.63,80.46,"22.951904,88.4070629",8566,5264,3302,A14,12,A32,1262,A61,A73,3,A93,2,25,A143,1,A173,0,1990,Pskov Oblast,-3.2,11.9,15.1,,844140
Banswara ,8,RAJASTHAN,27,100128,51240,48888,12244,6602,5642,76438,41404,35034,954,855,86.98,92.76,81.01,"23.5461394,74.4349761",13852,7837,6015,A14,18,A32,3378,A65,A73,2,A93,1,31,A143,1,A173,0,1990,Altai Republic,8.4,19.3,10.9,,193275
Baran ,8,RAJASTHAN,30,118157,61360,56797,14845,7842,7003,83879,48209,35670,926,893,81.19,90.08,71.64,"25.1011438,76.5131637",11553,7362,4191,A12,36,A33,2225,A61,A75,4,A93,4,57,A141,2,A173,1,1990,Komi Republic,6.1,13.6,7.5,,1248891
Baranagar ,19,WEST BENGAL,11,248466,128432,120034,15016,7712,7304,215849,114347,101502,935,947,92.46,94.72,90.04,"22.6383016,88.3654386",49711,28274,21437,A14,6,A31,783,A65,A73,1,A93,2,26,A142,1,A172,0,1990,Tuva Republic,17.7,26.3,8.6,,312576
Barasat ,19,WEST BENGAL,11,283443,143732,139711,21468,10932,10536,236881,123692,113189,972,964,90.42,93.14,87.62,"22.7228159,88.480552",45516,27143,18373,A12,12,A32,6468,A65,A71,2,A93,1,52,A143,1,A174,1,1990,Rostov Oblast,0,12.5,12.5,,4307956
Baraut ,9,UTTAR PRADESH,8,102733,54521,48212,13536,7387,6149,69559,39900,29659,884,832,77.98,84.65,70.51,"29.0998902,77.2606149",12672,7191,5481,A14,36,A34,9566,A61,A73,2,A92,2,31,A142,2,A173,0,1990,Ryazan Oblast,-2.4,11.6,14,,1350263
Barddhaman ,19,WEST BENGAL,9,314638,160631,154007,22104,11394,10710,260564,138067,122497,959,940,89.07,92.52,85.48,"23.2324214,87.8614793",52387,32325,20062,A13,18,A32,1961,A61,A75,3,A92,2,23,A143,1,A174,0,1990,Samara Oblast,1.2,12.3,11.1,,3236370
Bareilly ,9,UTTAR PRADESH,19,898167,477438,420729,94915,50224,44691,563619,316385,247234,881,890,70.17,74.06,65.75,"28.3670355,79.4304381",110691,61065,49626,A11,36,A34,6229,A61,A72,4,A92,4,23,A143,2,A172,1,1990,Saint Petersburg,-1.4,10.9,12.3,,5002444
Baripada Town ,21,ORISSA,7,110058,57008,53050,9933,5228,4705,89421,48388,41033,931,900,89.31,93.45,84.88,"21.9322338,86.7516942",17589,10953,6636,A12,9,A32,1391,A61,A73,2,A94,1,27,A141,1,A173,0,1990,Saratov Oblast,1.6,13.4,11.8,,2697733
Barnala ,3,PUNJAB,20,116454,62302,54152,12984,7096,5888,82347,46100,36247,869,830,79.59,83.51,75.1,"30.3819446,75.5467979",12665,6213,6452,A12,15,A34,1537,A65,A75,4,A93,4,50,A143,2,A173,0,1990,Sakhalin Oblast,6.1,14.2,8.1,,713981
Barrackpur ,19,WEST BENGAL,11,154475,79507,74968,10671,5553,5118,128459,68159,60300,943,922,89.33,92.16,86.33,"22.7674278,88.3883455",29910,17514,12396,A12,36,A30,1953,A61,A75,4,A93,4,61,A143,1,A174,1,1990,Sverdlovsk Oblast,1,12.1,11.1,,4765879
Barshi ,27,MAHARASHTRA,30,118573,60857,57716,13029,7060,5969,91260,49965,41295,948,845,86.47,92.88,79.8,"18.2333856,75.6941478",13351,8564,4787,A12,48,A30,14421,A61,A73,2,A93,2,25,A143,1,A173,1,1990,Sevastopol,,,,,392826
Basirhat ,19,WEST BENGAL,11,127135,64397,62738,10719,5504,5215,102737,53913,48824,974,947,88.25,91.54,84.88,"22.6574017,88.8671766",20037,12083,7954,A14,24,A32,3181,A61,A72,4,A92,4,26,A143,1,A173,0,1990,Republic of North Ossetia-Alania,7.4,16.9,9.5,,646348
Basti ,9,UTTAR PRADESH,54,114651,60126,54525,12568,6541,6027,87065,48473,38592,907,921,85.29,90.46,79.57,"26.8176796,82.7633133",20183,12071,8112,A14,27,A32,5190,A65,A75,4,A93,4,48,A143,4,A173,0,1990,Smolensk Oblast,-1.4,11.9,13.3,,1158429
Batala ,3,PUNJAB,1,156400,82459,73941,14698,8028,6670,121138,66101,55037,897,831,85.49,88.81,81.81,"31.8183238,75.2070644",16436,8120,8316,A14,12,A32,2171,A61,A72,2,A92,2,29,A141,1,A173,0,1990,Stavropol Krai,3.2,14.8,11.6,,2435834
Bathinda ,3,PUNJAB,12,285813,151782,134031,30713,16472,14241,211318,118888,92430,883,865,82.84,87.86,77.16,"30.210994,74.9454745",43428,22471,20957,A12,12,A32,1007,A64,A73,4,A94,1,22,A143,1,A173,0,1990,Tambov Oblast,-3.2,11.7,14.9,,1319338
Beawar ,8,RAJASTHAN,21,145809,74946,70863,17709,9419,8290,110111,61229,48882,946,880,85.96,93.44,78.12,"26.1007337,74.3190747",13767,8257,5510,A14,36,A32,1819,A61,A73,4,A93,4,37,A142,1,A173,1,1990,Republic of Tatarstan,5.5,15.4,9.9,,3653969
Begusarai ,10,BIHAR,20,251136,133931,117205,37966,20012,17954,169161,96459,72702,875,897,79.35,84.67,73.25,"25.416675,86.1293792",24616,16492,8124,A14,36,A32,2394,A65,A73,4,A92,4,25,A143,1,A173,0,1990,Tver Oblast,-3.4,11.5,14.9,,1666534
Belgaum ,29,KARNATAKA,1,488292,246407,241885,49848,25749,24099,396736,208546,188190,982,936,90.49,94.51,86.41,"15.8496953,74.4976741",64200,37682,26518,A14,36,A32,8133,A61,A73,1,A92,2,30,A141,1,A173,0,1990,Tomsk Oblast,3.9,12.6,8.7,,1075182
Bellary ,29,KARNATAKA,11,409644,206026,203618,49587,25337,24250,281768,153275,128493,988,957,78.26,84.83,71.64,"15.1393932,76.9214428",36855,23011,13844,A14,7,A34,730,A65,A75,4,A93,2,46,A143,2,A172,0,1990,Tula Oblast,-4.3,10.2,14.5,,1856206
Bengaluru,29,KARNATAKA,18,8425970,4401299,4024671,862493,444639,417854,6775942,3664959,3110983,914,940,89.59,92.63,86.25,"12.9716,77.5946",1591163,908363,682800,A11,8,A34,1164,A61,A75,3,A93,4,51,A141,2,A174,0,1990,Tyumen Oblast,9.6,15.9,6.3,,1394091
Bettiah ,10,BIHAR,1,132896,70381,62515,18203,9685,8518,94663,52547,42116,888,880,82.54,86.57,78,"26.8028048,84.5169757",13438,9372,4066,A12,42,A34,5954,A61,A74,2,A92,1,41,A141,2,A172,0,1990,Udmurt Republic,5.3,15.1,9.8,,1611461
Betul ,23,MADHYA PRADESH,30,103341,52902,50439,11005,5772,5233,83356,44429,38927,953,907,90.27,94.27,86.11,"21.9108031,77.9011842",17125,9918,7207,A11,36,A32,1977,A65,A75,4,A93,4,40,A143,1,A174,1,1990,Ulyanovsk Oblast,2.8,14.1,11.3,,1410878
Bhadrak ,21,ORISSA,9,107369,55094,52275,12251,6285,5966,76928,41628,35300,949,949,80.88,85.29,76.23,"21.0582737,86.4958396",13311,8191,5120,A11,12,A34,1526,A61,A75,4,A93,4,66,A143,2,A174,0,1990,Khabarovsk Krai,5.9,15.1,9.2,,1619663
Bhadravati ,29,KARNATAKA,14,150776,75020,75756,14000,7087,6913,118446,62199,56247,1010,975,86.6,91.56,81.7,"13.8329901,75.7080727",12406,7066,5340,A11,42,A32,3965,A61,A72,4,A93,3,34,A143,1,A173,1,1990,Republic of Khakassia,4.7,15.3,10.6,,570934
Bhadreswar ,19,WEST BENGAL,12,101334,53318,48016,8981,4674,4307,80249,44493,35756,901,921,86.89,91.47,81.8,"22.8275529,88.3456516",9225,5743,3482,A12,11,A33,4771,A61,A74,2,A93,4,51,A143,1,A173,0,1990,Khanty–Mansi Autonomous Okrug – Yugra,12.9,17.1,4.2,,1267030
Bhagalpur ,10,BIHAR,22,398138,212005,186133,53775,28061,25714,279469,157049,122420,878,916,81.16,85.38,76.31,"25.3478004,86.9824288",49656,33692,15964,A14,54,A30,9436,A65,A73,2,A93,2,39,A143,1,A172,0,1990,Chelyabinsk Oblast,2.7,13.1,10.4,,3701694
Bhalswa Jahangir Pur ,7,NCT OF DELHI,1,197150,106271,90879,27653,14678,12975,130417,76114,54303,855,884,76.94,83.1,69.71,"28.757322,77.1544",8348,5164,3184,A12,30,A32,3832,A61,A72,2,A94,1,22,A143,1,A173,0,1990,Chechen Republic,15.8,24.1,8.3,,1100334
Bharatpur ,8,RAJASTHAN,7,252109,134088,118021,31538,17245,14293,181159,105642,75517,880,829,82.13,90.41,72.8,"27.216981,77.489515",33411,20734,12677,A14,24,A32,5943,A65,A72,1,A92,1,44,A143,2,A173,1,1990,Chuvash Republic,5.7,15.8,10.1,,1337182
Bharuch ,24,GUJARAT,21,168729,86887,81842,16106,8406,7700,133796,71671,62125,942,916,87.66,91.32,83.79,"21.7051358,72.9958748",14059,8210,5849,A14,15,A32,1213,A63,A75,4,A93,3,47,A142,1,A173,0,1990,Chukotka Autonomous Okrug,10.1,13.8,3.7,,162135
Bhatpara ,19,WEST BENGAL,11,390467,207876,182591,32498,16879,15619,307362,172042,135320,878,925,85.86,90.08,81.04,"22.8562412,88.406454",29055,18147,10908,A14,18,A32,1568,A62,A73,3,A92,4,24,A143,1,A172,0,1990,Sakha (Yakutia) Republic,12.7,19.4,6.7,,1111480
Bhavnagar ,24,GUJARAT,14,593768,309447,284321,62089,33775,28314,455242,251860,203382,919,838,85.62,91.36,79.44,"21.7644725,72.1519304",51875,30315,21560,A11,24,A32,1755,A61,A75,4,A92,4,58,A143,1,A172,0,1990,Yamalo-Nenets Autonomous Okrug,13.1,16.4,3.3,,489161
Bhilai Nagar ,22,CHHATTISGARH,10,625697,322254,303443,67131,35011,32120,487242,267487,219755,942,917,87.23,93.12,80.99,"21.1938475,81.3509416",81620,43751,37869,A11,10,A32,2315,A61,A75,3,A93,4,52,A143,1,A172,0,1990,Yaroslavl Oblast,-1.9,11.3,13.2,,1472126
Bhilwara ,8,RAJASTHAN,24,360009,187952,172057,45832,24215,21617,264762,150306,114456,915,893,84.27,91.8,76.08,"25.321377,74.586953",41788,24856,16932,A14,12,A34,1412,A61,A73,4,A92,2,29,A143,2,A174,0,1991,Republic of Adygea,0,13.5,13.5,,436598
Bhimavaram ,28,ANDHRA PRADESH,15,142280,70066,72214,12157,6149,6008,108535,55523,53012,1031,977,83.41,86.87,80.07,"16.544893,81.521241",18298,11541,6757,A12,18,A34,1295,A61,A72,4,A92,1,27,A143,2,A173,0,1991,Altai Krai,0.4,11.7,11.3,,2653818
Bhind ,23,MADHYA PRADESH,3,197332,105394,91938,24486,13319,11167,145530,83903,61627,872,838,84.2,91.12,76.3,"26.4450034,78.7476208",20470,13748,6722,A12,36,A32,12612,A62,A73,1,A93,4,47,A143,1,A173,1,1991,Amur Oblast,5.3,14.3,9,,1054267
Bhiwadi ,8,RAJASTHAN,6,104883,59757,45126,16884,9080,7804,70987,44697,26290,755,859,80.67,88.2,70.44,"28.2088218,76.8445999",10135,6331,3804,A11,18,A32,2249,A62,A74,4,A93,3,30,A143,1,A174,0,1991,Arkhangelsk Oblast,2,11.9,9.9,,1517293
